rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,1129,nilearn,nilearn,GaelVaroquaux,2016-06-13 21:39:19,"Section ""2.3. Decoding on simulated data"" should be converted to a notebook-like example by merging it's content to the plot_simulated_data.py example. In the narrative documentation, it should be replaced by a sub-section at the end of 2.2.
",start issue,Move section 2.3 to a notebook-like example,section 23 decod simul data convert notebooklik exampl merg content plotsimulateddatapi exampl In narr document replac subsect end 22
