rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,73,nilearn,nilearn,GaelVaroquaux,2013-06-11 16:18:06,"The idea being that for objects that are not 'masker' objects, you should be able to pass in a 'Masker' object as a mask argument and it would be used to compute the mask with its 'fit' method.
",start issue,Use composition rather than inhertance of NiftiMasker in MultiPCA and CanICA,the idea object masker object abl pass masker object mask argument would use comput mask fit method
issue_closed,73,nilearn,nilearn,AlexandreAbraham,2013-06-20 08:56:08,,closed issue,Use composition rather than inhertance of NiftiMasker in MultiPCA and CanICA,
