rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,678,nilearn,nilearn,chrisfilo,2015-07-15 16:45:54,"see https://circleci.com/gh/chrisfilo/nilearn/17

Use the following line to replicate:

```
localizer_dataset = datasets.fetch_localizer_contrasts(
    [""left vs right button press""],
    n_subjects=2,
    get_anats=True,
    get_tmaps=True)
```
",start issue,brainomics datasests download times out upon ,see use follow line replic
issue_comment,678,nilearn,nilearn,GaelVaroquaux,2015-07-17 05:43:56,"I am reopening this, because it happens too often, and we need to hold a static version of this download on nitrc.
",,,I reopen happen often need hold static version download nitrc
issue_comment,678,nilearn,nilearn,GaelVaroquaux,2017-09-06 07:57:02,"> @GaelVaroquaux Shall I upload all the brainomics_localizer data (n_subjects=94) on NITRC ?

Please do.

Thanks a lot.

",,,pleas thank lot
issue_comment,678,nilearn,nilearn,AlexandreAbraham,2015-07-16 06:46:04,"Yes, brainomics was supposed to be shut down.
",,,ye brainom suppos shut
issue_comment,678,nilearn,nilearn,AlexandreAbraham,2015-07-29 12:16:37,"I have no time to take care of this one but, if anybody is willing to write the code and point me the URL to cache, I can upload the corresponding files on NITRC.
",,,I time take care one anybodi will write code point url cach I upload correspond file nitrc
issue_comment,678,nilearn,nilearn,lesteve,2015-07-16 06:33:04,"Yep I get the same locally.
",,,yep I get local
issue_comment,678,nilearn,nilearn,lesteve,2015-07-16 06:36:24,"It looks like https://brainomics.cea.fr/ is not accessible at the moment ...
",,,It look like access moment
issue_comment,678,nilearn,nilearn,lesteve,2015-07-16 06:37:29,"FWIW you can use the verbose parameter to get the HTTP request.

``` python

 localizer_dataset = datasets.fetch_localizer_contrasts(
    [""left vs right button press""],
    n_subjects=2,
    get_anats=True,
    get_tmaps=True, verbose=100)
```

Downloading data from http://brainomics.cea.fr/localizer/brainomics_data_30.zip?rql=Any%20X,XT,XL,XI,XF,XD%20WHERE%20X%20is%20Scan,%20X%20type%20XT,%20X%20concerns%20S,%20X%20label%20XL,%20X%20identifier%20XI,%20X%20format%20XF,%20X%20description%20XD,%20S%20identifier%20%3C%3D%20%22S02%22,%20X%20type%20IN(%22c%20map%22,%20%22t%20map%22),%20X%20label%20%22left%20auditory%20%26%20visual%20click%20vs%20right%20auditory%26visual%20click%22&vid=data-zip
",,,fwiw use verbos paramet get http request download data
issue_comment,678,nilearn,nilearn,lesteve,2015-07-16 06:41:08,"Hmmm there was a planned computer outage for maintenance, not sure whether that affects brainomics.cea.fr. The servers are supposed to be back up beginning of the afternoon today.
",,,hmmm plan comput outag mainten sure whether affect brainomicsceafr the server suppos back begin afternoon today
issue_comment,678,nilearn,nilearn,lesteve,2015-07-17 05:17:22,"Working now.
",,,work
issue_comment,678,nilearn,nilearn,choldgraf,2017-09-05 23:53:39,FYI this appears to be down again...,,,fyi appear
issue_comment,678,nilearn,nilearn,KamalakerDadi,2017-09-06 07:50:11,@GaelVaroquaux Shall I upload all the brainomics_localizer data (n_subjects=94) on NITRC ?,,,gaelvaroquaux shall I upload brainomicsloc data nsubjects94 nitrc
